"UF";"CATEGORIA";"TIPO_RELATORIO";TOTAL
"SP";"Cidadão";"REGISTROS NOVOS";676
"SP";"Cidadão";"RENOVAÇÕES";250
"SP";"Cidadão";"TRANSFERENCIAS";78
"SP";"Empresa com Segurança Orgânica";"TRANSFERENCIAS";4
"SP";"Empresa de Segurança Privada";"REGISTROS NOVOS";78
"SP";"Empresa de Segurança Privada";"TRANSFERENCIAS";142
"SP";"Revendedor";"REGISTROS NOVOS";1
"SP";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";542
"SP";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";138
"SP";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";79
"SP";"Órgão público com taxa";"REGISTROS NOVOS";6
"SP";"Órgão público sem taxa";"REGISTROS NOVOS";2130
"SP";"Órgão público sem taxa";"TRANSFERENCIAS";3
"TO";"Caçador de Subsistência";"REGISTROS NOVOS";1
"TO";"Cidadão";"REGISTROS NOVOS";120
"TO";"Cidadão";"RENOVAÇÕES";8
"TO";"Cidadão";"TRANSFERENCIAS";3
"TO";"Empresa de Segurança Privada";"TRANSFERENCIAS";10
"TO";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";12
"TO";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";4
"TO";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";3
"TO";"Órgão público sem taxa";"TRANSFERENCIAS";2
